Goa,"US$ 25,044"
NCT of Delhi,"US$ 19,974"
Sikkim,"US$ 19,543"
Chandigarh,"US$ 17,990"
Haryana,"US$ 12,904"
Puducherry,"US$ 12,047"
Karnataka,"US$ 11,524"
Telangana,"US$ 11,174"
Kerala,"US$ 11,153"
Uttarakhand,"US$ 10,860"
Gujarat,"US$ 10,789"
Tamil Nadu,"US$ 10,587"
Maharashtra,"US$ 10,477"
Himachal Pradesh,"US$ 9,792"
Andaman and Nicobar Islands,NA
Mizoram,"US$ 9,215"
Punjab,"US$ 8,470"
Andhra Pradesh,"US$ 8,261"
Arunachal Pradesh,"US$ 7,628"
Nagaland,"US$ 6,387"
Tripura,"US$ 6,180"
Rajasthan,"US$ 6,044"
West Bengal,"US$ 5,983"
Chhattisgarh,"US$ 5,294"
Odisha,"US$ 5,200"
Jammu and Kashmir,"US$ 5,021"
Madhya Pradesh,"US$ 4,973"
Meghalaya,"US$ 4,865"
Assam,"US$ 4,485"
Jharkhand,"US$ 4,154"
Manipur,"US$ 3,824"
Uttar Pradesh,"US$ 3,635"
Bihar,"US$ 2,395"